"blife_binomial","n_cells","st_area"
"Buceros hydrocorax",3854,78912
"Buceros mindanensis",5395,113845
"Buceros rhinoceros",62106,1465525
"Bucorvus abyssinicus",186635,4509462
"Bucorvus leadbeateri",201980,4895993
"Bycanistes albotibialis",87261,2111492
"Bycanistes brevis",35581,839765
"Bycanistes bucinator",169109,4098014
"Bycanistes cylindricus",19935,480114
"Bycanistes fistulator",34493,816196
"Bycanistes sharpii",122613,2973316
"Bycanistes subcylindricus",49402,1154819
"Ceratogymna atrata",95674,2297696
"Ceratogymna elata",21297,498460
"Horizocerus albocristatus",20155,482841
"Horizocerus cassini",93414,2255495
"Horizocerus granti",67903,1648237
"Horizocerus hartlaubi",48772,1170773
"Lophoceros alboterminatus",127889,3020689
"Lophoceros bradfieldi",32787,794749
"Lophoceros camurus",72079,1714431
"Lophoceros fasciatus",160032,3893104
"Lophoceros hemprichii",23587,550581
"Lophoceros nasutus",409185,9888936
"Lophoceros pallidirostris",81909,1969636
"Lophoceros semifasciatus",55977,1350833
"Ocyceros birostris",85628,2072878
"Ocyceros gingalensis",2871,65338
"Ocyceros griseus",9890,232055
"Penelopides affinis",5659,118427
"Penelopides manillae",4972,105260
"Penelopides mindorensis",475,8588
"Penelopides panini",1429,27760
"Phoeniculus bollei",54959,1305953
"Phoeniculus damarensis",34798,833527
"Phoeniculus purpureus",507018,12352233
"Phoeniculus somaliensis",45992,1072091
"Rhabdotorrhinus corrugatus",39657,898556
"Rhabdotorrhinus exarhatus",6304,120737
"Rhabdotorrhinus leucocephalus",4239,90584
"Rhabdotorrhinus waldeni",1170,23552
"Rhinopomastus aterrimus",323578,7840445
"Rhinopomastus castaneiceps",26758,626511
"Rhinopomastus cyanomelas",265351,6432099
"Rhinopomastus minor",86124,2078077
"Rhyticeros cassidix",7826,165629
"Rhyticeros everetti",509,10773
"Rhyticeros narcondami",2,7
"Rhyticeros plicatus",34894,759071
"Rhyticeros subruficollis",3641,72668
"Rhyticeros undulatus",136408,3244258
"Tockus damarensis",16401,393984
"Tockus deckeni",68014,1639659
"Tockus erythrorhynchus",378990,9205518
"Tockus flavirostris",60860,1459258
"Tockus jacksoni",4831,113527
"Tockus leucomelas",76110,1829291
"Tockus monteiri",16865,401589
"Upupa antaios",0,0
"Upupa epops",2548176,62005672
"Upupa marginata",22875,532804
"Adelomyia melanogenys",27391,624033
"Aegotheles affinis",10,104
"Aegotheles albertisi",7859,169543
"Aegotheles archboldi",2949,62807
"Aegotheles bennettii",9174,199924
"Aegotheles crinifrons",1085,20601
"Aegotheles cristatus",319418,7734889
"Aegotheles insignis",7828,169122
"Aegotheles savesi",862,17180
"Aegotheles tatei",3655,85540
"Aegotheles wallacii",2049,40352
"Aerodramus bartschi",97,1051
"Aerodramus brevirostris",131665,3149352
"Aerodramus elaphrus",28,210
"Aerodramus francicus",235,4441
"Aerodramus fuciphagus",72981,1656228
"Aerodramus hirundinaceus",25082,587490
"Aerodramus infuscatus",8494,183791
"Aerodramus inquietus",63,547
"Aerodramus leucophaeus",161,1423
"Aerodramus maximus",45683,1064261
"Aerodramus mearnsi",11851,255567
"Aerodramus nuditarsus",15408,367254
"Aerodramus orientalis",1156,21710
"Aerodramus papuensis",11409,269597
"Aerodramus pelewensis",56,457
"Aerodramus salangana",21211,486250
"Aerodramus sawtelli",4,30
"Aerodramus spodiopygius",7928,137300
"Aerodramus terraereginae",3891,86145
"Aerodramus unicolor",10774,250300
"Aerodramus vanikorensis",56991,1220393
"Aerodramus vulcanorum",88,864
"Aerodramus whiteheadi",1787,22404
"Aeronautes andecolus",37717,895162
"Aeronautes montivagus",36622,848104
"Aeronautes saxatalis",166897,4041475
"Aglaeactis aliciae",55,345
"Aglaeactis castelnaudii",1084,23438
"Aglaeactis cupripennis",10384,226312
"Aglaeactis pamela",798,16643
"Aglaiocercus berlepschi",111,1400
"Aglaiocercus coelestis",1550,29740
"Aglaiocercus kingii",12989,269448
"Androdon aequatorialis",3891,83715
"Anopetia gounellei",22354,538313
"Anthracothorax aurulentus",540,9609
"Anthracothorax dominicus",3418,75653
"Anthracothorax mango",532,11082
"Anthracothorax nigricollis",407738,9880902
"Anthracothorax prevostii",39939,924356
"Anthracothorax veraguensis",1449,30640
