"blife_binomial","n_cells","st_area"
"Cacicus koepckeae",2026,45687
"Cacicus latirostris",17555,421551
"Cacicus microrhynchus",6210,133580
"Cacicus oseryi",26474,634384
"Cacicus pacificus",6561,146628
"Cacicus sclateri",12365,295828
"Cacicus solitarius",363235,8843448
"Cacicus uropygialis",6649,138530
"Calyptophilus frugivorus",526,8646
"Calyptophilus tertius",380,6348
"Cardellina canadensis",330422,7873901
"Cardellina pusilla",763701,18348573
"Cardellina rubra",10137,233608
"Cardellina rubrifrons",44738,1061020
"Cardellina versicolor",1160,17123
"Cardinalis cardinalis",245143,5868826
"Cardinalis phoeniceus",3277,70119
"Cardinalis sinuatus",63692,1524564
"Caryothraustes canadensis",111240,2667569
"Caryothraustes celaeno",5448,128323
"Caryothraustes erythromelas",53963,1296739
"Caryothraustes poliogaster",13932,318831
"Castanozoster thoracicus",3486,77882
"Catamblyrhynchus diadema",16448,360787
"Catharopeza bishopi",11,84
"Certhidea fusca",102,1046
"Certhidea olivacea",406,7045
"Charitospiza eucosma",68543,1649170
"Chlorophanes spiza",330695,7971926
"Chrysocorypha delatrii",0,0
"Chrysomus icterocephalus",68448,1591816
"Chrysomus ruficapillus",239833,5819192
"Chrysothlypis chrysomelas",990,15805
"Chrysothlypis salmoni",3465,75834
"Cnemoscopus chrysogaster",2351,49819
"Cnemoscopus rubrirostris",3133,62080
"Coereba flaveola",451775,10873089
"Compsothraupis loricata",69636,1689540
"Conothraupis mesoleuca",8992,213535
"Conothraupis speculigera",21311,493069
"Corydospiza alaudina",0,0
"Corydospiza carbonaria",37545,904228
"Coryphaspiza melanotis",90804,2196206
"Coryphospingus cucullatus",203282,4935322
"Coryphospingus pileatus",115219,2775293
"Creurgops dentatus",4851,110588
"Creurgops verticalis",0,0
"Curaeus curaeus",46076,1036981
"Cyanerpes caeruleus",277426,6717475
"Cyanerpes cyaneus",354683,8546395
"Cyanerpes lucidus",10723,236345
"Cyanerpes nitidus",110904,2690668
"Cyanicterus cyanicterus",0,0
"Cyanocompsa parellina",25143,580419
"Cyanoloxia brissonii",242027,5881306
"Cyanoloxia cyanoides",38567,882826
"Cyanoloxia glaucocaerulea",49852,1199972
"Cyanoloxia rothschildii",273252,6642853
"Cypsnagra hirundinacea",0,0
"Dacnis albiventris",43667,1050967
"Dacnis berlepschi",949,19323
"Dacnis cayana",499483,12133786
"Dacnis egregia",6362,145026
"Dacnis flaviventer",0,0
"Dacnis hartlaubi",1596,30650
"Dacnis lineata",250573,6092830
"Dacnis nigripes",2531,51893
"Dacnis venusta",9392,204523
"Dacnis viguieri",787,15582
"Dives dives",25436,595446
"Dives warczewiczi",10596,240489
"Donacospiza albifrons",69742,1677379
"Emberizoides duidae",99,1252
"Emberizoides herbicola",0,0
"Emberizoides ypiranganus",27365,651781
"Embernagra longicauda",4277,86643
"Embernagra platensis",113899,2744992
"Eucometis penicillata",0,0
"Euneornis campestris",532,11082
"Euphagus carolinus",511467,12252321
"Euphagus cyanocephalus",422391,10226880
"Geospiza acutirostris",2,15
"Geospiza conirostris",10,65
"Geospiza difficilis",86,1295
"Geospiza fortis",476,7752
"Geospiza fuliginosa",509,8358
"Geospiza heliobates",212,2396
"Geospiza magnirostris",498,8229
"Geospiza pallida",433,7594
"Geospiza parvula",448,7613
"Geospiza pauper",4,23
"Geospiza propinqua",2,15
"Geospiza psittacula",454,7695
"Geospiza scandens",441,7159
"Geospiza septentrionalis",3,1
"Geothlypis aequinoctialis",306570,7414806
"Geothlypis auricularis",8898,197774
"Geothlypis bairdi",4399,98210
"Geothlypis beldingi",184,1755
"Geothlypis chiriquensis",80,1391
"Geothlypis flavovelata",2214,48314
"Geothlypis formosa",162174,3800447
"Geothlypis nelsoni",5229,117797
"Geothlypis philadelphia",302846,7184316
"Geothlypis poliocephala",37302,864295
"Geothlypis rostrata",627,8802
"Geothlypis semiflava",5229,116428
"Geothlypis speciosa",116,648
"Geothlypis tolmiei",244646,5866387
"Geothlypis trichas",630157,15139149
"Gnorimopsar chopi",245131,5961468
"Granatellus francescae",30,244
"Granatellus paraensis",28605,684547
"Granatellus pelzelni",143718,3487527
"Granatellus sallaei",13430,317224
"Granatellus venustus",7725,172720
"Gymnomystax mexicanus",67265,1573926
"Habia atrimaxillaris",117,1831
"Habia carmioli",4415,93866
"Habia cristata",2505,54386
"Habia frenata",5083,109663
"Habia fuscicauda",25573,584933
"Habia gutturalis",4083,95756
"Habia olivacea",4238,93441
"Habia rubica",0,0
"Habia stolzmanni",2370,50362
"Heliothraupis oneilli",1396,22524
"Helmitheros vermivorum",142199,3337136
"Hemithraupis flavicollis",233308,5656496
"Hemithraupis guira",388787,9437502
"Hemithraupis ruficapilla",27286,651962
"Heterospingus rubrifrons",0,0
"Heterospingus xanthopygius",6866,154074
"Hypopyrrhus pyrohypogaster",1864,32106
"Icterus abeillei",16504,396995
"Icterus auratus",4975,116253
"Icterus auricapillus",17825,408404
"Icterus bonana",73,1133
"Icterus bullockiorum",213482,5170008
"Icterus cayanensis",170067,4131045
"Icterus chrysater",33690,782033
"Icterus chrysocephalus",107952,2616012
"Icterus croconotus",142701,3454046
"Icterus cucullatus",97929,2343458
"Icterus dominicensis",3404,75537
"Icterus fuertesi",10485,246547
"Icterus galbula",331639,7896189
"Icterus graceannae",3514,78104
"Icterus graduacauda",14963,348706
"Icterus gularis",24370,562595
"Icterus icterus",19017,445464
"Icterus jamacaii",109861,2668725
"Icterus laudabilis",37,585
"Icterus leucopteryx",536,11110
"Icterus maculialatus",3820,87778
"Icterus melanopsis",5003,110232
"Icterus mesomelas",43368,1001742
"Icterus nigrogularis",58297,1376974
"Icterus northropi",294,5294
"Icterus oberi",3,26
"Icterus parisorum",87157,2087592
"Icterus pectoralis",9384,207760
"Icterus portoricensis",420,8822
"Icterus prosthemelas",19159,442697
"Icterus pustulatus",23815,556351
"Icterus pyrrhopterus",271652,6617889
"Icterus spurius",282301,6775760
"Icterus wagleri",32421,771201
"Incaspiza laeta",1300,29126
"Incaspiza ortizi",129,1474
"Incaspiza personata",3801,88606
"Incaspiza pulchra",0,0
"Incaspiza watkinsi",141,2324
"Iridophanes pulcherrimus",5511,116093
"Islerothraupis cristata",263019,6379363
"Islerothraupis luctuosa",297555,7190135
"Islerothraupis rufiventer",30794,742072
"Kleinothraupis atropileus",6075,130430
"Kleinothraupis auricularis",2874,62272
"Kleinothraupis calophrys",1127,23236
"Kleinothraupis parodii",1339,28836
"Kleinothraupis reyi",464,6018
"Lampropsar tanagrinus",0,0
"Lamprospiza melanoleuca",141053,3412352
"Lanio aurantius",10618,249614
"Lanio fulvus",95117,2300995
"Lanio leucothorax",4267,91623
"Lanio versicolor",117244,2847928
"Leiothlypis celata",654979,15779814
"Leiothlypis crissalis",23275,560157
"Leiothlypis luciae",29185,684486
"Leiothlypis peregrina",509520,12163853
"Leiothlypis ruficapilla",430765,10370008
"Leiothlypis virginiae",72416,1699223
"Leucopeza semperi",15,79
"Limnothlypis swainsonii",76415,1758475
"Loxigilla barbadensis",33,442
"Loxigilla noctis",473,6203
"Loxipasser anoxanthus",532,11082
"Macroagelaius imthurni",2596,59301
"Macroagelaius subalaris",2622,40511
"Maschalethraupis surinama",230540,5611374
"Melanospiza bicolor",13500,271021
"Melanospiza richardsoni",38,438
"Melopyrrha grandis",1,1
"Melopyrrha nigra",5003,110232
"Melopyrrha portoricensis",420,8822
"Melopyrrha taylori",21,204
"Melopyrrha violacea",4826,98412
"Microligea palustris",1410,30642
"Mitrospingus cassinii",7758,168784
"Mitrospingus oleagineus",1704,39080
"Mniotilta varia",507474,12102597
"Molothrus aeneus",106320,2529700
"Molothrus armenti",323,5052
"Molothrus ater",516288,12444978
"Molothrus bonariensis",549974,13282370
"Molothrus oryzivorus",451156,10938712
"Molothrus rufoaxillaris",195135,4740806
"Myioborus albifacies",761,17143
"Myioborus albifrons",646,10542
"Myioborus brunniceps",5122,112921
"Myioborus cardonai",37,235
"Myioborus castaneocapilla",4196,96233
"Myioborus chrysops",2091,31540
"Myioborus flavivertex",251,3594
"Myioborus melanocephalus",8480,186885
"Myioborus miniatus",0,0
"Myioborus ornatus",1778,39891
"Myioborus pariae",34,305
"Myioborus pictus",47599,1129315
"Myioborus torquatus",388,5295
"Myiothlypis basilica",153,1414
"Myiothlypis bivittata",5216,116630
"Myiothlypis chlorophrys",1268,24263
"Myiothlypis chrysogaster",2083,43221
"Myiothlypis cinereicollis",2909,52640
"Myiothlypis conspicillata",400,7366
"Myiothlypis coronata",18693,420245
"Myiothlypis euophrys",2434,52668
"Myiothlypis flaveola",169806,4124511
"Myiothlypis fraseri",2775,61320
"Myiothlypis fulvicauda",104075,2489148
"Myiothlypis leucoblephara",65309,1578987
"Myiothlypis leucophrys",33743,813017
"Myiothlypis luteoviridis",5940,125401
"Myiothlypis mesoleuca",131302,3167524
"Myiothlypis nigrocristata",8985,194453
"Myiothlypis rivularis",35375,849651
"Myiothlypis roraimae",4568,105412
"Myiothlypis signata",7301,163451
"Myiothlypis striaticeps",3016,65304
"Nemosia pileata",372552,9046475
"Nemosia rourei",52,529
"Nesopsar nigerrimus",115,1737
"Nesospingus speculiferus",202,3402
"Oporornis agilis",276886,6668992
"Orchesticus abeillei",7112,164268
"Oreopsar bolivianus",3309,77829
"Oreothlypis gutturalis",275,3938
"Oreothlypis superciliosa",17639,405061
"Orthogonys chloricterus",0,0
"Parkerthraustes humeralis",0,0
"Parkesia motacilla",205423,4829814
"Parkesia noveboracensis",738099,17671407
"Passerina amoena",192784,4675059
"Passerina caerulea",283217,6763767
"Passerina ciris",157293,3720248
"Passerina cyanea",313022,7453055
"Passerina leclancherii",6259,141243
"Passerina rositae",337,7020
"Passerina versicolor",64244,1547367
"Phaenicophilus palmarum",2974,67293
"Phaenicophilus poliocephalus",484,9319
"Pheucticus aureoventris",80499,1929324
"Pheucticus chrysogaster",0,0
"Pheucticus chrysopeplus",13816,322892
"Pheucticus ludovicianus",391619,9318812
"Pheucticus melanocephalus",246330,5984669
"Pheucticus tibialis",981,19730
"Phonipara canora",4200,93464
"Piezorina cinerea",1930,42163
"Pinaroloxias inornata",6,25
"Piranga bidentata",18598,420150
"Piranga erythrocephala",11132,257452
"Piranga flava",238605,5804928
"Piranga hepatica",150080,3555692
"Piranga leucoptera",0,0
"Piranga ludoviciana",321923,7796728
"Piranga olivacea",278114,6601733
"Piranga roseogularis",4602,106243
"Piranga rubra",367228,8781413
"Piranga rubriceps",4039,80925
"Platyspiza crassirostris",414,14262
"Poospiza baeri",1608,49650
"Poospiza boliviana",2871,65500
"Poospiza garleppi",392,6307
"Poospiza goeringi",441,3867
"Poospiza hispaniolensis",5312,116484
"Poospiza nigrorufa",39854,955773
"Poospiza ornata",29459,710927
"Poospiza rubecula",1157,16161
"Poospiza rufosuperciliaris",677,8423
"Poospiza whitii",12943,296023
"Poospizopsis caesar",1416,32539
"Poospizopsis hypocondria",12379,287741
"Porphyrospiza caerulescens",0,0
"Protonotaria citrea",174710,4065108
"Psarocolius bifasciatus",240205,5827422
"Psarocolius cassini",612,9378
"Psarocolius guatimozinus",4689,108261
"Psarocolius montezuma",21788,500358
"Pseudoleistes guirahuro",88453,2147842
"Pseudoleistes virescens",50955,1221561
"Pseudospingus verticalis",3268,67915
"Pseudospingus xanthophthalmus",4418,92816
"Ptiloxena atroviolacea",4806,107157
"Quiscalus lugubris",39894,924425
"Quiscalus major",10395,208251
"Quiscalus mexicanus",0,0
"Quiscalus nicaraguensis",458,7143
"Quiscalus niger",9815,208064
"Quiscalus palustris",0,0
"Quiscalus quiscula",352959,8478770
"Ramphocelus bresilius",16491,379699
"Ramphocelus carbo",433133,10564806
"Ramphocelus dimidiatus",20695,478374
"Ramphocelus flammigerus",15772,349720
"Ramphocelus melanogaster",3442,77161
"Ramphocelus nigrogularis",0,0
"Ramphocelus passerinii",13329,304021
"Ramphocelus sanguinolentus",12301,279285
"Rhodospingus cruentus",4286,96641
"Rhopospina fruticeti",87099,2090760
"Saltator albicollis",261,8030
"Saltator atriceps",30807,714942
"Saltator atricollis",138426,3366540
"Saltator atripennis",5184,111021
"Saltator aurantiirostris",103081,2483436
"Saltator cinctus",5060,76378
"Saltator coerulescens",379712,9246600
"Saltator fuliginosus",34332,815499
"Saltator grandis",32360,746921
"Saltator grossus",259377,6284070
"Saltator maxillosus",18384,438686
"Saltator maximus",396858,9605635
"Saltator multicolor",46154,1117606
"Saltator nigriceps",1224,26702
"Saltator olivascens",67464,1611362
"Saltator orenocensis",17525,413479
"Saltator similis",156148,3801468
"Saltator striatipectus",38872,895965
"Seiurus aurocapilla",374747,8887520
"Sericossypha albocristata",5010,103924
"Setophaga adelaidae",437,8971
"Setophaga americana",231265,5438198
"Setophaga angelae",18,164
"Setophaga auduboni",260543,6287519
"Setophaga caerulescens",129330,2981995
"Setophaga castanea",355089,8432757
"Setophaga cerulea",196909,4674441
"Setophaga chrysoparia",18683,436610
"Setophaga citrina",134164,3124461
"Setophaga coronata",663765,15847140
"Setophaga delicata",42,621
"Setophaga discolor",95672,2186107
"Setophaga dominica",137691,3218273
"Setophaga flavescens",247,2598
"Setophaga fusca",369388,8764692
"Setophaga graciae",51284,1215404
"Setophaga graysoni",19,167
"Setophaga kirtlandii",3337,53117
"Setophaga magnolia",372528,8837097
"Setophaga nigrescens",148175,3569278
"Setophaga occidentalis",103208,2479488
"Setophaga palmarum",332893,7882523
"Setophaga pensylvanica",310871,7350790
"Setophaga petechia",882930,21098146
"Setophaga pharetra",532,11082
"Setophaga pinus",157941,3771153
"Setophaga pitiayumi",349290,8410525
"Setophaga pityophila",477,7480
"Setophaga plumbea",159,2411
"Setophaga ruticilla",635440,15169054
"Setophaga striata",667213,16036306
"Setophaga subita",18,155
"Setophaga tigrina",243848,5709754
"Setophaga townsendi",224908,5359005
"Setophaga virens",366776,8656226
"Setophaga vitellina",36,282
"Sphenopsis frontalis",9532,201955
"Sphenopsis melanotis",8590,184774
"Sphenopsis ochracea",90,1290
"Sphenopsis piurae",614,12362
"Spindalis dominicensis",3367,75198
"Spindalis nigricephala",532,11082
"Spindalis portoricensis",420,8822
"Spindalis zena",6888,127168
"Spiza americana",260504,6201755
"Sporophila albogularis",37890,916630
"Sporophila americana",62602,1500879
"Sporophila angolensis",490428,11956005
"Sporophila ardesiaca",26982,641849
"Sporophila atrirostris",0,0
"Sporophila beltoni",33228,795472
"Sporophila bouvreuil",139544,3369085
"Sporophila bouvronides",196607,4772066
"Sporophila caerulescens",329490,8031144
"Sporophila castaneiventris",145069,3512638
"Sporophila cinnamomea",113651,2760491
"Sporophila collaris",135354,3280179
"Sporophila corvina",12688,290115
"Sporophila crassirostris",106982,2549792
"Sporophila falcirostris",7961,176081
"Sporophila fringilloides",0,0
"Sporophila frontalis",12710,281322
"Sporophila funerea",32509,735804
"Sporophila hypochroma",66595,1611731
"Sporophila hypoxantha",132182,3207110
"Sporophila iberaensis",10008,232827
"Sporophila intermedia",67458,1603533
"Sporophila leucoptera",0,0
"Sporophila lineola",497167,12123368
"Sporophila luctuosa",47803,1135089
"Sporophila maximiliani",76336,1836897
"Sporophila melanogaster",34846,841250
"Sporophila minuta",96398,2257652
"Sporophila morelleti",36728,859485
"Sporophila murallae",40544,980582
"Sporophila nigricollis",300270,7238572
"Sporophila nigrorufa",11981,284645
"Sporophila nuttingi",2372,53105
"Sporophila ophthalmica",10848,240750
"Sporophila palustris",104032,2529337
"Sporophila peruviana",4855,103151
"Sporophila pileata",60261,1460088
"Sporophila plumbea",0,0
"Sporophila ruficollis",141520,3445486
"Sporophila schistacea",0,0
"Sporophila simplex",4340,95909
"Sporophila telasco",10986,242615
"Sporophila torqueola",23056,546391
"Tachyphonus coronatus",61963,1499713
"Tachyphonus phoenicius",93171,2243868
"Tachyphonus rufus",248719,5977530
"Tersina viridis",362755,8810408
"Thlypopsis fulviceps",1969,40259
"Thlypopsis inornata",909,20179
"Thlypopsis ornata",8212,182201
"Thlypopsis pectoralis",617,12600
"Thlypopsis pyrrhocoma",25636,614124
"Thlypopsis ruficeps",9446,215083
"Thlypopsis sordida",283516,6876231
"Thlypopsis superciliaris",12463,273360
"Tiaris olivaceus",43124,973593
"Trichothraupis melanops",103085,2485853
"Urothraupis stolzmanni",1757,36542
"Vermivora bachmanii",39462,920486
"Vermivora chrysoptera",192934,4568919
"Vermivora cyanoptera",151616,3555735
"Volatinia jacarina",631907,15338706
"Xanthopsar flavus",31005,736268
"Xenoligea montana",426,6552
"Xenospingus concolor",2265,34758
"Acanthidops bairdi",311,4773
"Anisognathus flavinucha",2085,43267
"Anisognathus igniventris",4360,97249
"Anisognathus lacrymosus",8263,175380
"Anisognathus lunulatus",8229,182766
"Anisognathus melanogenys",363,7956
"Anisognathus notabilis",994,18727
"Anisognathus somptuosus",14656,321750
"Bangsia arcaei",0,0
"Bangsia aureocincta",150,1461
"Bangsia edwardsi",945,19159
"Bangsia flavovirens",0,0
"Bangsia melanochlamys",662,8280
"Bangsia rothschildi",1017,20131
"Buthraupis montana",13808,301351
"Calochaetes coccineus",4651,99794
"Catamenia analis",44117,1032363
"Catamenia homochroa",13110,285734
"Catamenia inornata",34786,805726
"Chionodacryon speculiferum",9221,209681
"Chlorochrysa calliparaea",6638,148356
"Chlorochrysa fulgentissima",2919,64690
"Chlorochrysa nitidissima",1286,17496
"Chlorochrysa phoenicotis",0,0
"Chlorornis riefferii",14171,309475
"Cissopis leverianus",225097,5443776
"Cnemathraupis aureodorsalis",403,2461
"Cnemathraupis eximia",2888,60505
"Conirostrum albifrons",13829,299974
"Conirostrum bicolor",0,0
"Conirostrum binghami",11055,234823
"Conirostrum cinereum",27778,620690
"Conirostrum ferrugineiventre",6685,148353
"Conirostrum leucogenys",11898,273006
"Conirostrum margaritae",3640,78149
"Conirostrum rufum",1790,39667
"Conirostrum sitticolor",13776,301927
"Conirostrum speciosum",0,0
"Conirostrum tamarugense",0,0
"Diglossa albilatera",11755,256194
"Diglossa baritula",11598,261260
"Diglossa brunneiventris",13819,319713
"Diglossa caerulescens",13044,282487
"Diglossa carbonaria",3027,70489
"Diglossa cyanea",17758,394672
"Diglossa duidae",0,0
"Diglossa glauca",5563,115453
"Diglossa gloriosa",571,11500
"Diglossa gloriosissima",148,1492
"Diglossa humeralis",7044,156458
"Diglossa indigotica",1056,20100
"Diglossa lafresnayii",5045,110423
"Diglossa major",1485,33936
"Diglossa mystacalis",5603,122028
"Diglossa plumbea",563,8988
"Diglossa sittoides",26296,597052
"Diglossa venezuelensis",81,801
"Diuca diuca",103857,2502532
"Dubusia carrikeri",208,8700
"Dubusia castaneoventris",6066,132039
"Dubusia stictocephala",3630,80537
"Dubusia taeniata",9547,213891
"Ephippiospingus dorsalis",8036,187936
"Ephippiospingus erythronotus",5949,139499
"Geospizopsis plebejus",40353,955500
"Geospizopsis unicolor",57973,1364655
"Gubernatrix cristata",54317,1307776
"Haplospiza unicolor",40724,981769
"Idiopsar brachyurus",0,0
"Iridosornis analis",4637,97577
"Iridosornis jelskii",4700,99173
"Iridosornis porphyrocephalus",1154,22007
"Iridosornis reinhardti",3376,67342
"Iridosornis rufivertex",3891,82928
"Lophospingus griseocristatus",3728,85295
"Lophospingus pusillus",23368,561887
"Melanodera melanodera",6713,145695
"Melanodera xanthogramma",16887,353365
"Microspingus alticola",1462,47302
"Microspingus cabanisi",32486,779026
"Microspingus cinereus",67990,1653402
"Microspingus erythrophrys",3659,80507
"Microspingus lateralis",2521,57676
"Microspingus melanoleucus",61369,1488770
"Microspingus pectoralis",75280,1827837
"Microspingus torquatus",5199,122110
"Microspingus trifasciatus",3891,82704
"Neothraupis fasciata",0,0
"Nephelornis oneilli",952,17543
"Nesospiza acunhae",4,16
"Nesospiza questi",2,2
"Nesospiza wilkinsi",2,1
"Paroaria baeri",4709,108004
"Paroaria capitata",63477,1528562
"Paroaria coronata",100263,2422189
"Paroaria dominicana",50433,1220299
"Paroaria gularis",184767,4472350
"Paroaria nigrogenis",19466,463114
"Phrygilus atriceps",22108,529130
"Phrygilus gayi",68856,1651831
"Phrygilus patagonicus",26724,571439
"Phrygilus punensis",13212,311487
"Pipraeidea bonariensis",137347,3328616
"Pipraeidea darwinii",19232,452271
"Pipraeidea melanonota",89961,2121386
"Pseudosaltator rufiventris",2765,42996
"Rowettia goughensis",10,64
"Schistochlamys melanopis",270340,6512094
"Schistochlamys ruficapillus",0,0
"Sicalis auriventris",5938,136364
"Sicalis citrina",0,0
"Sicalis columbiana",77685,1855780
"Sicalis flaveola",336360,8155767
"Sicalis lebruni",17725,418509
"Sicalis lutea",14185,335011
"Sicalis luteocephala",3448,79488
"Sicalis luteola",0,0
"Sicalis mendozae",7932,186316
"Sicalis olivascens",32986,773864
"Sicalis raimondii",3186,68368
"Sicalis taczanowskii",1909,41724
"Sicalis uropigyalis",29762,709334
"Spodiornis rusticus",0,0
"Sporathraupis cyanocephala",19547,432558
"Stephanophorus diadematus",45465,1092970
"Tangara abbas",28985,680926
"Tangara argentea",4261,94290
"Tangara argyrofenges",0,0
"Tangara arthus",1793,39167
"Tangara atrocoerulea",4590,100870
"Tangara aurulenta",17310,380861
"Tangara brasiliensis",6564,146869
"Tangara cabanisi",274,3595
"Tangara callophrys",61355,1490948
"Tangara cayana",0,0
"Tangara chilensis",190419,4624574
"Tangara chrysotis",4867,100410
"Tangara cucullata",25,321
"Tangara cyanicollis",0,0
"Tangara cyanocephala",19165,446830
"Tangara cyanomelas",9307,213284
"Tangara cyanoptera",9956,450228
"Tangara cyanotis",4372,89447
"Tangara cyanoventris",20089,478429
"Tangara desmaresti",11065,261648
"Tangara dowii",651,12161
"Tangara episcopus",330661,7977697
"Tangara fastuosa",790,31592
"Tangara flava",175566,4268280
"Tangara florida",2117,37312
"Tangara fucosa",86,1093
"Tangara fulvicervix",5281,115681
"Tangara glaucocolpa",10352,237558
"Tangara guttata",0,0
"Tangara gyrola",176261,4208806
"Tangara heinei",0,0
"Tangara icterocephala",3959,75642
"Tangara inornata",8109,181775
"Tangara johannae",3593,78845
"Tangara labradorides",5053,105169
"Tangara larvata",21371,483184
"Tangara lavinia",0,0
"Tangara lunigera",1412,28955
"Tangara mexicana",290544,7085675
"Tangara meyerdeschauenseei",541,11080
"Tangara nigrocincta",141885,3439001
"Tangara nigroviridis",16183,351001
"Tangara ornata",16788,394839
"Tangara palmarum",504665,12265353
"Tangara palmeri",0,0
"Tangara parzudakii",9063,197819
"Tangara peruviana",5736,126192
"Tangara phillipsi",227,3674
"Tangara preciosa",45950,1108666
"Tangara punctata",0,0
"Tangara ruficervix",6463,135514
"Tangara rufigenis",0,0
"Tangara rufigula",1204,23201
"Tangara sayaca",278466,6782453
"Tangara schrankii",114144,2769229
"Tangara seledon",28467,675728
"Tangara varia",61738,1487560
"Tangara vassorii",9486,208112
"Tangara velia",203545,4956370
"Tangara versicolor",27,352
"Tangara viridicollis",4732,102834
"Tangara vitriolina",5624,124687
"Tangara whitelyi",0,0
"Tangara xanthocephala",16465,359264
"Tangara xanthogastra",115895,2817458
"Tephrophilus wetmorei",1130,12988
"Wetmorethraupis sterrhopteron",722,19406
"Xenodacnis parina",2855,55785
"Xenodacnis petersi",1938,31385
"Agamia agami",341148,8270136
"Ardea alba",3362614,81144538
"Ardea brachyrhyncha",565141,13656847
"Ardea cinerea",2151732,51845653
"Ardea cocoi",610132,14824850
"Ardea goliath",741487,18030162
"Ardea herodias",624011,14925494
"Ardea humbloti",6982,148406
"Ardea insignis",2974,65037
"Ardea intermedia",378861,8941847
"Ardea melanocephala",787677,19179004
"Ardea occidentalis",8429,171791
"Ardea pacifica",287776,6963246
"Ardea plumifera",229999,5443073
"Ardea purpurea",1761246,42483231
"Ardea sumatrana",86796,1775675
"Ardeola bacchus",331662,7896865
"Ardeola grayii",167357,4010196
"Ardeola idae",164946,4001276
"Ardeola ralloides",1409839,34239598
"Ardeola rufiventris",230251,5579369
"Ardeola speciosa",29728,620659
"Balaeniceps rex",54800,1299283
"Bostrychia bocagei",11,139
"Bostrychia carunculata",22654,543221
"Bostrychia hagedash",671759,16339936
"Bostrychia olivacea",34347,807650
"Bostrychia rara",116569,2824875
"Botaurus lentiginosus",592139,14247166
"Botaurus pinnatus",96088,2273195
"Botaurus poiciloptilus",60990,1431387
"Botaurus stellaris",1030597,24826097
"Bubulcus ibis",2655313,63916655
"Butorides striata",2260294,54225771
"Calherodius leuconotus",327581,7908589
"Cercibis oxycerca",16705,398450
"Cochlearius cochlearius",485778,11770131
"Egretta ardesiaca",355352,8554526
"Egretta caerulea",361104,8525001
"Egretta eulophotes",43363,864526
"Egretta garzetta",1614022,38522224
"Egretta gularis",112242,2509830
"Egretta novaehollandiae",317329,7565159
"Egretta picata",54871,1225897
"Egretta rufescens",31136,583517
"Egretta sacra",199200,4119991
"Egretta thula",916669,22107995
"Egretta tricolor",112487,2514145
"Egretta vinaceigula",44682,1058833
"Eudocimus albus",87715,1940425
"Eudocimus ruber",36206,821761
"Geronticus calvus",8774,207806
"Geronticus eremita",24272,562989
"Gorsachius goisagi",38081,827550
"Gorsachius melanolophus",73220,1628459
"Ixobrychus cinnamomeus",347902,8199089
"Ixobrychus dubius",77660,1852475
"Ixobrychus eurhythmus",360803,8465090
"Ixobrychus exilis",349612,8204388
"Ixobrychus flavicollis",352846,8212025
"Ixobrychus involucris",101069,2409269
"Ixobrychus minutus",1152629,27823166
"Ixobrychus novaezelandiae",0,0
"Ixobrychus sinensis",401288,9369854
"Ixobrychus sturmii",533285,12950698
"Lophotibis cristata",22887,538263
"Mesembrinibis cayennensis",437157,10641393
"Nipponia nippon",72,1123
"Nyctanassa carcinocatactes",0,0
"Nyctanassa violacea",227969,5256531
"Nycticorax caledonicus",335447,7827487
"Nycticorax duboisi",0,0
"Nycticorax mauritianus",0,0
"Nycticorax megacephalus",0,0
"Nycticorax nycticorax",2204696,52972447
"Oroanassa magnifica",68553,1652628
"Pelecanus conspicillatus",280731,6595615
"Pelecanus crispus",508556,12265830
"Pelecanus erythrorhynchos",336823,8117677
"Pelecanus occidentalis",275143,6555727
"Pelecanus onocrotalus",677084,16338181
"Pelecanus philippensis",130673,3067692
"Pelecanus rufescens",587672,14225183
"Pelecanus thagus",20722,466598
"Phimosus infuscatus",272531,6620069
"Pilherodius pileatus",424273,10335680
"Platalea ajaja",355028,8459463
"Platalea alba",586937,14243835
"Platalea flavipes",196487,4717476
"Platalea leucorodia",391465,9231413
"Platalea minor",11353,211491
"Platalea regia",266043,6288978
"Plegadis chihi",396309,9608762
"Plegadis falcinellus",1181934,28409576
"Plegadis ridgwayi",21070,498296
"Pseudibis davisoni",2308,48533
"Pseudibis papillosa",72905,1749158
"Scopus umbretta",821515,19999179
"Syrigma sibilatrix",175212,4254976
"Thaumatibis gigantea",2209,50614
"Theristicus branickii",6374,106797
"Theristicus caerulescens",72888,1757190
"Theristicus caudatus",214160,5174079
"Theristicus melanopis",87354,2022990
"Threskiornis aethiopicus",734296,17833306
"Threskiornis bernieri",1948,28223
"Threskiornis melanocephalus",123073,2853771
"Threskiornis moluccus",238944,5722049
"Threskiornis solitarius",0,0
"Threskiornis spinicollis",273935,6584336
"Tigriornis leucolopha",160501,3894441
"Tigrisoma fasciatum",67056,1541867
"Tigrisoma lineatum",547617,13318975
"Tigrisoma mexicanum",40871,933368
"Zebrilus undulatus",286150,6970869
"Zonerodius heliosylus",29042,658562
"Phaethon aethereus",1024717,24871780
"Phaethon lepturus",4246254,103588179
"Phaethon rubricauda",4839718,118217461
"Phoeniconaias minor",230586,5519794
"Phoenicoparrus andinus",15029,356127
"Phoenicoparrus jamesi",14688,346779
"Phoenicopterus chilensis",153595,3689786
"Phoenicopterus roseus",350239,11498246
"Phoenicopterus ruber",25203,493178
