"blife_id","blife_binomial","blife_order","blife_family","blife_iucn_status","ref_binomial","ref_order","ref_family","ref_id","method"
22726965,"Ceyx nigrirostris","Coraciiformes","Alcedinidae","NT","Ceyx nigrirostris","Coraciiformes","Alcedinidae",22726965,"Match by ID"
22726971,"Alcedo euryzona","Coraciiformes","Alcedinidae","CR","Alcedo euryzona","Coraciiformes","Alcedinidae",22726971,"Match by ID"
22726979,"Alcedo peninsulae","Coraciiformes","Alcedinidae","NT","Alcedo peninsulae","Coraciiformes","Alcedinidae",22726979,"Match by ID"
22727003,"Horizocerus hartlaubi","Bucerotiformes","Bucerotidae","LC","Horizocerus hartlaubi","Bucerotiformes","Bucerotidae",22727003,"Match by ID"
22727013,"Horizocerus granti","Bucerotiformes","Bucerotidae","LC","Horizocerus granti","Bucerotiformes","Bucerotidae",22727013,"Match by ID"
22727019,"Buceros hydrocorax","Bucerotiformes","Bucerotidae","VU","Buceros hydrocorax","Bucerotiformes","Bucerotidae",22727019,"Match by ID"
22727029,"Buceros mindanensis","Bucerotiformes","Bucerotidae","VU","Buceros mindanensis","Bucerotiformes","Bucerotidae",22727029,"Match by ID"
22727035,"Galbula albirostris","Piciformes","Galbulidae","LC","Galbula albirostris","Piciformes","Galbulidae",22727035,"Match by ID"
22727043,"Galbula chalcocephala","Piciformes","Galbulidae","LC","Galbula chalcocephala","Piciformes","Galbulidae",22727043,"Match by ID"
22727049,"Caloramphus fuliginosus","Piciformes","Megalaimidae","LC","Caloramphus fuliginosus","Piciformes","Megalaimidae",22727049,"Match by ID"
22727057,"Caloramphus hayii","Piciformes","Megalaimidae","NT","Caloramphus hayii","Piciformes","Megalaimidae",22727057,"Match by ID"
22727063,"Eubucco versicolor","Piciformes","Capitonidae","LC","Eubucco versicolor","Piciformes","Capitonidae",22727063,"Match by ID"
22727074,"Eubucco steerii","Piciformes","Capitonidae","LC","Eubucco steerii","Piciformes","Capitonidae",22727074,"Match by ID"
22727080,"Eubucco glaucogularis","Piciformes","Capitonidae","NT","Eubucco glaucogularis","Piciformes","Capitonidae",22727080,"Match by ID"
