"ref_binomial";"ref_id";"ref_kingdom";"ref_phylum";"ref_class";"ref_order";"ref_family";"ref_genus"
"Acryllium vulturinum";"22679572";"Animalia";"Chordata";"Aves";"Galliformes";"Numididae";"Acryllium"
"Odontophorus capueira";"22679635";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Odontophorus erythrops";"22679645";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Odontophorus atrifrons";"22679650";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Odontophorus melanonotus";"22679663";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Odontophorus columbianus";"22679683";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Odontophorus balliviani";"22679693";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Odontophorus stellatus";"22679698";"Animalia";"Chordata";"Aves";"Galliformes";"Odontophoridae";"Odontophorus"
"Anhima cornuta";"22679723";"Animalia";"Chordata";"Aves";"Anseriformes";"Anhimidae";"Anhima"
"Chauna chavaria";"22679726";"Animalia";"Chordata";"Aves";"Anseriformes";"Anhimidae";"Chauna"
"Chauna torquata";"22679729";"Animalia";"Chordata";"Aves";"Anseriformes";"Anhimidae";"Chauna"
"Anseranas semipalmata";"22679732";"Animalia";"Chordata";"Aves";"Anseriformes";"Anseranatidae";"Anseranas"
"Dendrocygna bicolor";"22679746";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Dendrocygna"
"Dendrocygna javanica";"22679758";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Dendrocygna"
"Dendrocygna viduata";"22679763";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Dendrocygna"
"Thalassornis leuconotus";"22679785";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Thalassornis"
"Biziura lobata";"22679830";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Biziura"
"Heteronetta atricapilla";"22679833";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Heteronetta"
"Stictonetta naevosa";"22679836";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Stictonetta"
"Cygnus melancoryphus";"22679846";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Cygnus"
"Coscoroba coscoroba";"22679866";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Coscoroba"
"Anser cygnoid";"22679869";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Anser"
"Anser canagicus";"22679919";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Anser"
"Chloephaga melanoptera";"22679972";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Chloephaga"
"Chloephaga picta";"22679975";"Animalia";"Chordata";"Aves";"Anseriformes";"Anatidae";"Chloephaga"
